TransactionID,CustomerID,Amount,MerchantID,TransactionType,Location,TransactionDate,CardType,DeviceType,IP_Address,AuthenticationMethod,PreviousFraudulentTransaction,Fraud
a00d7cac-9b6e-409d-8cdb-812a49b71679,c19a2469,2686.37,ac2bb7,ATM,Los Angeles,2025-02-25 07:18:14,Credit,Mobile,22.55.89.243,PIN,0,0
bf17fe98-c9b1-4fc3-bbb0-a549726ecb94,2b079545,3112.02,662f83,POS,Tokyo,2025-01-03 11:36:34,Credit,Mobile,58.16.27.183,OTP,0,1
fe1a51ef-cc32-43f5-9277-67407e0f8ab8,af7a46cd,4398.03,30fcae,Transfer,Los Angeles,2025-02-12 10:48:08,Debit,Mobile,106.140.42.53,OTP,0,0
25d73223-a634-4b4f-8b08-e1eec2409339,6760738f,4997.76,7ed42e,POS,Berlin,2025-02-05 02:29:04,Prepaid,Desktop,83.139.56.34,Biometric,1,1
fab71a61-ca49-43e2-a5ef-be47689b7dc7,c6bc6bd3,88.46,c41843,ATM,Tokyo,2025-01-11 23:04:56,Prepaid,POS Terminal,199.25.128.201,PIN,0,0
8872b9fd-8d27-4bf5-9780-87651abee139,73db1301,1253.19,bd0c59,Online,Tokyo,2025-01-07 08:39:56,Credit,Mobile,86.140.179.38,PIN,0,0
3074f770-e51f-4053-9470-707d7444b6b0,68876b2a,1068.19,8522d0,ATM,Berlin,2025-01-18 08:39:06,Credit,Mobile,164.13.127.103,Biometric,0,0
10a82d36-f214-4372-ae6b-4b7208ff5e59,b4323d5f,3358.21,5ad96a,Transfer,London,2025-01-26 05:28:57,Credit,POS Terminal,107.141.217.45,OTP,1,1
4e148afd-f4c0-4f21-94f3-bd85941fff89,9bc82e84,1324.04,619e36,ATM,Tokyo,2025-01-19 09:03:27,Credit,POS Terminal,198.226.72.140,OTP,1,0
222543cb-9147-4470-bfd2-42d343ca56cb,bf136bb8,2617.06,be47ae,Transfer,New York,2025-02-16 04:30:31,Credit,Mobile,153.183.165.104,PIN,0,1
10a82d36-f214-4372-ae6b-4b7208ff5e59,b4323d5f,3358.21,5ad96a,Transfer,London,2025-01-26 05:28:57,Credit,POS Terminal,107.141.217.45,OTP,1,1
9eabb6c0-4eef-494c-aa58-ab010edf1d25,52769887,1519.08,cfa5dc,Online,Los Angeles,2025-02-15 18:47:34,Prepaid,Desktop,187.22.249.173,Biometric,0,0
bdc94773-e689-4985-9886-ae2cffa1dece,62d1c6ae,1922.95,10a182,Online,London,2025-02-13 23:05:43,Prepaid,POS Terminal,45.166.91.53,PIN,0,0
ada77e00-2bea-430b-8367-e58173529da8,b33ae4aa,4679.04,26732f,Transfer,New York,2025-01-24 19:27:47,Prepaid,Desktop,142.162.77.119,Biometric,1,0
8bb22dea-e14e-4c55-99d6-44df3f3a4d64,86ca5b74,3087.41,4b6b00,Transfer,Tokyo,2025-02-07 12:16:41,Prepaid,Mobile,108.213.193.227,OTP,0,1
e5820161-0dfe-4a14-b8c0-eaa435e6dcda,c5ad1d77,4078.06,5a61f8,Online,Berlin,2025-01-06 14:44:47,Prepaid,Desktop,87.110.170.170,Biometric,0,1
68e9aabf-9dc6-47a9-9ce9-b148187dd627,a75b7e69,1809.68,e1e7cb,ATM,London,2025-02-23 12:26:05,Credit,Desktop,158.130.31.171,Biometric,1,0
670f18d0-3686-454e-a09c-f4369421e1c6,6417f21c,2654.29,ed2bb3,Transfer,Berlin,2025-01-04 03:59:15,Debit,POS Terminal,140.9.157.132,Biometric,0,0
e037ecb8-b2ce-423b-97d3-c770c6a4c0d3,897482c8,1407.11,2c5300,Transfer,London,2025-01-13 21:19:44,Prepaid,Mobile,26.92.108.93,Biometric,0,1
676c1120-a660-4952-8f0d-48bba8d438d4,31556db8,1786.21,6007d8,Transfer,Los Angeles,2025-01-16 04:22:13,Credit,Mobile,219.246.221.231,PIN,0,0
920377f5-0fef-416b-9b5f-cbfe7e208c9e,fb3f19b6,2381.96,10271a,ATM,London,2025-02-07 18:27:35,Debit,POS Terminal,82.12.196.19,OTP,0,0
357dc0db-8b4e-4614-81ed-aa15b5f1aac0,30c1682e,1960.66,cda05e,POS,London,2025-02-13 03:45:50,Credit,Mobile,59.75.60.48,Biometric,0,0
c2742e3a-9d05-4fae-9c2c-a55314412b82,393adeca,2824.74,5960b4,POS,New York,2025-02-27 07:41:03,Debit,POS Terminal,25.128.1.216,OTP,0,0
408a7897-fa3b-49c4-a6cb-f0e36a100c12,2df542df,2013.26,0fa811,Transfer,Tokyo,2025-02-14 09:51:47,Prepaid,POS Terminal,59.18.239.220,PIN,0,1
